language,uni_lemma,lexical_category,category,freq,concreteness,measure,intercept,slope,aoa
Cantonese,air conditioner,nouns,furniture_rooms,-1.6571923740779027,0.8160725526089267,produces,-8.265450979263262,0.3001696806829189,27.535928880153573
Cantonese,airplane,nouns,vehicles,0.46495316269547804,0.8463044561166753,produces,-6.737833487445162,0.30016268148461733,22.447272439463667
Cantonese,alligator,nouns,animals,-0.4065377281859219,0.8463044561166753,produces,-9.19919275210853,0.300062193919938,30.657620115125336
Cantonese,ambulance,nouns,vehicles,-1.1010620178256605,0.6951449385779334,produces,-9.431998837211417,0.3000898597423965,31.430581644138343
Cantonese,animal,nouns,animals,0.13829034562792372,0.49359891519294524,produces,-9.057882900579692,0.30009469929298277,30.183415175009376
Cantonese,ant,nouns,animals,-0.32187256836816625,0.7455314444241812,produces,-7.968986552396833,0.2999569696881439,26.56709914319359
Cantonese,apple,nouns,food_drink,0.5370248953815476,0.8866136607936731,produces,-6.482330118766176,0.299990679745177,21.608438383060776
Cantonese,arm,nouns,body_parts,-1.4436694499677616,0.8463044561166753,produces,-9.749009422604408,0.2999755986725673,32.49934149892557
Cantonese,back (body part),nouns,body_parts,-0.7839490279119324,0.21143448245396068,produces,-8.426747534095133,0.3000315142388823,28.086208062083223
Cantonese,bag,nouns,household,0.4956382879961178,0.785840649101179,produces,-6.800559223424945,0.3000698975183396,22.663250394882777
Cantonese,ball,nouns,toys,0.4923158017256294,0.8866136607936731,produces,-4.227950893005383,0.30002986702725826,14.091766712749521
Cantonese,balloon,nouns,toys,-0.9974719520220734,0.8059952514396774,produces,-9.098817286267384,0.29990531866292486,30.338966067133658
Cantonese,banana,nouns,food_drink,0.11150767617955368,0.8866136607936731,produces,-6.341988199725138,0.29995635686483957,21.143036493748458
Cantonese,basin,nouns,household,-0.4856781888448655,0.5137535175314437,produces,-8.232425790150666,0.29989879441110684,27.450679841231718
Cantonese,basket,nouns,household,-0.47163436119112856,0.8866136607936731,produces,-9.176002816270156,0.3000134212069029,30.585307748422252
Cantonese,bathroom,nouns,furniture_rooms,0.37729948474150504,0.40290320466969953,produces,-7.342429176206615,0.30027565369528275,24.45229603482156
Cantonese,bathtub,nouns,furniture_rooms,-0.7966390956246969,0.8059952514396774,produces,-9.694514841855474,0.3000911533686702,32.30523370325915
Cantonese,battery,nouns,household,-0.1350869766716273,0.5540627222084414,produces,-8.299764045108867,0.30001853482016577,27.664170982248923
Cantonese,beans,nouns,food_drink,-0.6817040773403917,0.8866136607936731,produces,-7.344997040874337,0.2996997439769556,24.507852237067997
Cantonese,bear,nouns,animals,1.2546731448415314,0.7656860467626797,produces,-6.6840713659389195,0.299837831019087,22.29228827870432
Cantonese,bed,nouns,furniture_rooms,0.38824247230454456,0.8866136607936731,produces,-6.733854930031761,0.300193527797064,22.431712567047626
Cantonese,bee,nouns,animals,-0.6419408694057689,0.7656860467626797,produces,-8.579418767621492,0.2999127202512988,28.60638508574342
Cantonese,beef,nouns,food_drink,0.08809883005156065,0.6246038303931879,produces,-9.337496409314113,0.29996591250410076,31.12852500927572
Cantonese,bell,nouns,toys,0.6537179534161626,0.8463044561166753,produces,-8.492940025863295,0.29969706458600764,28.33841578527031
Cantonese,belly button,nouns,body_parts,-0.8229751995792475,0.8866136607936731,produces,-8.16354947877619,0.29972770233113255,27.236553095640392
Cantonese,belt,nouns,clothing,-1.3261593051485419,0.785840649101179,produces,-9.145561487872744,0.29995408575681176,30.489871357470097
Cantonese,bib,nouns,clothing,-1.4015179734180523,0.6749903362394348,produces,-8.660134594126125,0.2998298570412639,28.883496392203128
Cantonese,bicycle,nouns,vehicles,0.03261468372395607,0.7757633479319289,produces,-7.271531247015714,0.300163020174429,24.225273462367632
Cantonese,bird,nouns,animals,-1.3261593051485419,0.8866136607936731,produces,-6.0825266434274905,0.2998202357565311,20.287245215719206
Cantonese,biscuit,nouns,food_drink,0.22993287305703747,0.785840649101179,produces,-5.4207824356215,0.300007174435918,18.068842672892103
Cantonese,blanket,nouns,household,0.18211307818848918,0.8866136607936731,produces,-6.287579040723196,0.3001777308826621,20.94618752108889
Cantonese,blocks,nouns,toys,0.21321361715743603,0.6346811315624371,produces,-8.20761248965079,0.3000016739654736,27.35855564124413
Cantonese,boat,nouns,vehicles,0.32196889208958557,0.8160725526089267,produces,-6.666449644894635,0.3000843214921875,22.215254738219276
Cantonese,book,nouns,toys,1.1908809770240938,0.785840649101179,produces,-5.983348896805532,0.30006883548822655,19.939921075343708
Cantonese,bottle,nouns,household,0.07599226636196271,0.7959179502704282,produces,-7.489462264617581,0.29999893742226724,24.964962639436603
Cantonese,bowl,nouns,household,-0.07960283034402273,0.7556087455934305,produces,-6.9413755088493225,0.3001574603520539,23.125780384428232
Cantonese,box,nouns,household,0.4626074468925862,0.785840649101179,produces,-8.037110410717816,0.30002469391010156,26.788163020761317
Cantonese,bread,nouns,food_drink,0.20369053075626095,0.8059952514396774,produces,-4.421859565170841,0.2999962760301025,14.739714851417487
Cantonese,bridge,nouns,outside,-1.292172524349238,0.8563817572859245,produces,-9.163487751639028,0.3000869899365432,30.536104726088762
Cantonese,broom,nouns,household,-1.4436694499677616,0.7757633479319289,produces,-8.087121124706261,0.2999592956360691,26.960728480033847
Cantonese,brush (object),nouns,household,0.553105910593365,0.4230578070081989,produces,-8.513150283134099,0.2995922296451853,28.415791334830146
Cantonese,bucket,nouns,household,-0.5074721538330086,0.8463044561166753,produces,-8.420841948609691,0.2999701781374488,28.072263719332767
Cantonese,bug,nouns,animals,-0.6614472596814926,0.8866136607936731,produces,-7.266933631841589,0.2997719410027105,24.241540444160123
Cantonese,bun,nouns,food_drink,-1.2016740606484582,0.7656860467626797,produces,-8.886790817667926,0.29993574228434877,29.628982361305113
Cantonese,bunny,nouns,animals,0.4397860100023302,0.8563817572859245,produces,-7.052631660732451,0.2999631727622507,23.511658433891586
Cantonese,bus,nouns,vehicles,0.5076444776594838,0.785840649101179,produces,-6.390689182462973,0.3001073069613237,21.29468038339557
Cantonese,butt,nouns,body_parts,-1.3261593051485419,0.6346811315624371,produces,-5.92897111574825,0.3001178350162284,19.755477429149288
Cantonese,butterfly,nouns,animals,-0.03542980687025061,0.8160725526089267,produces,-7.795038331725249,0.300010408163955,25.98255966994744
Cantonese,button,nouns,clothing,0.2207100046259278,0.8463044561166753,produces,-7.869911924454875,0.3000242173447758,26.230922270554874
Cantonese,cabbage,nouns,food_drink,-2.022212223806567,0.6346811315624371,produces,-10.409246833744122,0.30000197152347347,34.69726142426253
Cantonese,cake,nouns,food_drink,0.15961359565553715,0.6951449385779334,produces,-6.689125332432882,0.3000363293549915,22.294384639396664
Cantonese,camera,nouns,household,-0.604970441378463,0.8866136607936731,produces,-8.174599439481417,0.3001068377475433,27.238964299634105
Cantonese,candy,nouns,food_drink,0.4273653321805271,0.7152995409164327,produces,-6.157075183551026,0.30016720679608,20.51215137479646
Cantonese,car,nouns,vehicles,1.3575630585396565,0.7757633479319289,produces,-4.565227125299482,0.3001039025213577,15.212155146748167
Cantonese,card,nouns,toys,-2.3872320735352313,0.785840649101179,produces,-9.107199629544557,0.2998493303223379,30.372586191052424
Cantonese,carousel,nouns,outside,-1.5951663755862864,0.8160725526089267,produces,-7.816070862618777,0.29985994798890525,26.065738072188186
Cantonese,carrot,nouns,food_drink,-0.8952270014505318,0.8866136607936731,produces,-7.90026577543648,0.29983433334269666,26.348769626748663
Cantonese,cat,nouns,animals,0.46728847617682556,0.7455314444241812,produces,-5.3171243296154085,0.29988645723407814,17.73045831631235
Cantonese,cd,nouns,household,-1.727511651479402,-0.22188946782376537,produces,-10.422463449256767,0.2999522951609704,34.747070175487465
Cantonese,ceiling,nouns,furniture_rooms,-2.022212223806567,0.7354541432549311,produces,-10.224552372016861,0.3000130795589156,34.080355386669055
Cantonese,chair,nouns,furniture_rooms,0.27376951049124665,0.4633670116851967,produces,-6.63637031951304,0.3001187186531332,22.112483850709513
Cantonese,cheek,nouns,body_parts,-2.173709149425091,0.7152995409164327,produces,-9.644331634688145,0.2999590424057383,32.15216169960558
